"* Required Fields","* Обов’язкові поля"
"Comment","Текст повідомлення"
"Contact Form","Форма зворотного зв’язку"
"Contact Information","Контактна інформація"
"Contact Us","Напишіть нам"
"Contacts","Контактна інформація"
"Contacts Section","Розділ про контактну інформацію"
"Email","Електронна адреса"
"Email Options","Налаштування електронних листів"
"Email Sender","Відправник електронного листа"
"Email Template","Шаблон електронного листа"
"Enable Contact Us","Увімкнути сторінку зворотного зв’язку"
"Name","Ім’я та прізвище"
"Send Emails To","Надсилати листи на адресу"
"Submit","Надіслати"
"Telephone","Телефон"
"Unable to submit your request. Please, try again later","Спроби відправити вашого листа пішли марно. Будь ласка, спробуйте ще раз пізніше!"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Вашого листа було надіслано. Ми відповімо вам за першої нагоди. Дякуємо, що написали нам!"
"Contact Us","Напишіть нам"
"Contact Information","Контактна інформація"
"Name","Ім’я та прізвище"
"Email","Електронна адреса"
"Telephone","Телефон"
"Comment","Текст повідомлення"
"* Required Fields","* Обов’язкові поля"
