"Add New Row","Додати новий рядок"
"An error occurred while saving the file(s).","Під час збереження файла(-ів) сталася помилка."
"Availability: In stock.","Наявність: на складі."
"Availability: Out of stock.","Наявність: нема на складі."
"Back","Назад"
"Can't connect to remote host, error: %s","Не вдалося з’єднатися з далеким вузлом, помилка: %s"
"Canceled","Скасовано"
"Date","Дата"
"Default Link Title","Назва ланки за промовчанням"
"Default Maximum Number of Downloads","Максимальне число вивантажень за промовчанням"
"Default Sample Title","Зразок заголовку за промовчанням"
"Disable Guest Checkout if cart contains downloadable items","Унеможливити подання замовлення без реєстрації, якщо у кошику є вивантажні речі"
"Downloadable Information","Дані про вивантаження"
"Downloadable Product","Вивантажний виріб"
"Downloadable Product Options","Настроювання вивантажних виробів"
"Downloadable product Section","Розділ вивантажних виробів"
"Excl. Tax","Не включ. податок"
"File","Файл"
"File does not exists","Такого файлу не існує"
"From:","Від:"
"Gift Message","Привітання до подарунку"
"Go to <a href=""%s"">My Downloadable Products</a>","Перейти до <a href=""%s"">моїх вивантажних виробів</a>"
"Guest checkout will only work with shareable","Подати замовлення без реєстрації можна лише на виріб, ланку на який можна відправити електронною поштою"
"Incl. Tax","Включ. податок"
"Invalid download URL host","Нечинний вузол ланки вивантаження"
"Invalid download URL scheme","Нечинна схема ланки вивантаження"
"Invalid download link type","Нечинний тип ланки вивантаження"
"Invoiced","Рахунок виставлено"
"Link has expired.","Термін ланці вже вийшов."
"Link is not available.","Ланка не доступна."
"Links can be purchased separately","Ланки можна придбати окремо"
"Max. Downloads","Макс. к-сть вивантажень"
"Message:","Повідомлення:"
"My Downloadable Products","Мої вивантажні вироби"
"Open Links in New Window","Відкривати ланки у новому вікні"
"Order #","Замовлення №"
"Order Item Status to enable Downloads","Стан речі замовлення, щоб уможливити вивантаження"
"Ordered","Замовлено"
"Pending","Чекає на обробку"
"Please log in to download your product.","Будь ласка, увійдіть до системи, що вивантажити свій виріб."
"Please set resource file and link type","Будь ласка, вкажіть файл ресурсу та тип ланки"
"Please specify product link(s).","Будь ласка, вкажіть ланку(-ки) на виріб(-и)."
"Price","Ціна"
"Refunded","Кошти повернуто"
"Remaining Downloads","Залишилося вивантажень"
"Remove item","Витягнути річ"
"Requested link doesn't exist.","Запитувана ланка не існує."
"Sample","Зразок"
"Shareable","Дозволити ділитися"
"Shipped","Відправлено"
"Sorry, the was an error getting requested content. Please contact store owner.","Перепрошуємо, але під час подання запитаних даних сталася помилка. Будь ласка, зв’яжіться з власником крамниці!"
"Sorry, there was an error getting requested content","Перепрошуємо, але під час подання запитаних даних сталася помилка"
"Sorry, there was an error getting requested content. Please contact store owner.","Перепрошуємо, але під час подання запитаних даних сталася помилка. Будь ласка, зв’яжіться з власником крамниці!"
"Sort Order","Порядок сортування"
"Start Download","Почати вивантажування"
"Status","Стан"
"Title","Заголовок"
"To:","Кому:"
"U","U"
"Unlimited","Не обмежено"
"View Order","Переглянути замовлення"
"You have not purchased any downloadable products yet.","Ви ще не придбали жодного вивантажного виробу."
"attachment","вкладення"
"download","вивантажити"
"inline","на сторінці"
"sample","зразок"
"My Downloadable Products","Мої вивантажні вироби"
"You have not purchased any downloadable products yet.","Ви ще не придбали жодного вивантажного виробу."
