"# of Uses","# of Uses"
"%s tag(s) have been accepted for moderation","%s tag(s) have been accepted for moderation"
"Action","Дія"
"Actions","Дії"
"Add New Tag","Поставити нову мітку"
"Add Tags","Поставити мітки"
"Add Your Tags:","Проставте свої мітки:"
"Add to Cart","До кошика"
"Add to Wishlist","Додати до скриньки бажань"
"All Tags","Усі мітки"
"Approved","Підтверджено"
"Are you sure that you want to delete this tag?","Чи ви дійсно бажаєте видалити цю мітку?"
"Are you sure you want to delete this tag?","Чи ви дійсно бажаєте видалити цю мітку?"
"Are you sure you want to do this?","Чи ви дійсно бажаєте виконати цю дію?"
"Are you sure?","Ви впевнені?"
"Back","Назад"
"Back to Tags List","Повернутись до списку міток"
"Back to view Tag","Повернутись до перегляду міток"
"Block Information","Інформація про блок"
"CSV","CSV"
"Change status","Змінити стан"
"Click on a tag to view your corresponding products.","Клацніть на мітку, щоб побачити крам, позначений нею."
"Country","Країна"
"Customer Since","Клієнт починаючи з"
"Customers","Клієнти"
"Customers Tagged '%s'","Клієнти, позначені як '%s'"
"Delete","Видалити"
"Delete Tag","Видалити мітку"
"Disabled","Не показувати"
"Edit Tag","Редагувати мітку"
"Edit Tag '%s'","Редагувати мітку '%s'"
"Email","Електропошта"
"First Name","Ім’я"
"General Information","Загальні дані"
"Grid","Сітка"
"ID","ID"
"Last Name","Прізвище"
"List","Список"
"My Recent Tags","Мої недавні мітки"
"My Tags","Мої мітки"
"Name","Назва"
"New Tag","Нова мітка"
"No matches found.","Збігів не знайдено."
"Other people marked this product with these tags:","Інші користувачі поклали на цей крам такі мітки:"
"Pending","На обробці"
"Pending Tags","Мітки на погодження"
"Popular","Популярні"
"Popular Tags","Популярні мітки"
"Popularity","Популярність"
"Price","Ціна"
"Product Name","Назва виробу"
"Product SKU","Артикул виробу"
"Product Tags","Мітки до вироба"
"Products","Вироби"
"Products Tagged with '%s'","Вироби, помічені як '%s'"
"Products tagged with '%s'","Вироби, помічені як '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Вироби, помічені як '%s' (<a href='%s'>RSS</a>)"
"SKU","Артикул"
"Save Tag","Зберегти мітку"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Результати пошуку для '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Search Terms"
"Status","Стан"
"Tag","Мітка"
"Tag ""%s"" has already been added to the product","Tag ""%s"" has already been added to the product"
"Tag Information","Дані про мітку"
"Tag Name","Назва мітки"
"Tag Name: %s","Назва мітки: %s"
"Tag can't be empty.","Мітка не може бути пуста."
"Tagged in","Позначено в"
"Tags","Мітки"
"Tags Aren't Available","Мітки не доступні"
"Tags:","Мітки:"
"Telephone","Телефон"
"Thank you. Your tag has been accepted for moderation.","Дякуємо! Вашу мітку було відправлено на погодження."
"Unable to find any products tagged with '%s' in the current store","У чинній крамниці неможливо знайти крам, позначений міткою '%s' "
"Unable to remove tag. Please, try again later.","Неможливо видалити мітку. Будь-ласка, спробуйте ще раз пізніше!"
"Unable to save tag(s)","Неможливо зберегти мітку(-ки)"
"Unable to save your tag. Please, try again later.","Неможливо зберегти вашу мітку. Будь-ласка, спробуйте ще раз пізніше."
"Use spaces to separate tags. Use single quotes (') for phrases.","Використовуйте пробіли для розділення міток. Для фраз використовуйте одиничні лапки (') ."
"Uses","Використання"
"View All","View All"
"View All Tags","Переглянути всі мітки"
"View Customers","Всі клієнти"
"View Products","Переглянути вироби"
"Visible In","Видимий у"
"XML","XML"
"You have not tagged any products yet.","Ви не позначили міткою жодного виробу."
"Your tag was successfully deleted","Your tag was successfully deleted"
"Your tag was successfully saved","Your tag was successfully saved"
"ZIP/Post Code","Поштовий індекс"
"You have not tagged any products yet.","You have not tagged any products yet."
